field,canonical_entity,source_form_class,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,changed_occurrences,fragmentation_rank
datasets,COVID-19 Infection Survey linked to VOA and EPC - England and Wales Office for National,single_observed_form,1,1,1,0,1,1,
datasets,Bespoke Data Tables for Project,single_observed_form,1,1,1,0,1,0,
datasets,Understanding Society - UK Office for National,single_observed_form,1,1,1,0,1,1,
datasets,Census 2021,fragmented_observed_forms,3,25,18,7,25,7,34
datasets,NN4B,single_observed_form,1,1,1,0,1,0,
datasets,Maternal Deaths,single_observed_form,1,1,1,0,1,1,
datasets,Over 50s Lifestyle Study,fragmented_observed_forms,2,3,2,1,3,1,111
datasets,Nursing and Midwifery Council Register,single_observed_form,1,3,3,0,3,3,
datasets,Further Education Workforce Data Collection,single_observed_form,1,3,3,0,3,3,
datasets,Bespoke National Pupil Database extract,single_observed_form,1,1,1,0,1,0,
datasets,Longitudinal Business Database,fragmented_observed_forms,3,14,7,7,14,9,36
datasets,Business Enterprise Research and Development Great Britain,single_observed_form,1,1,1,0,1,0,
datasets,Business Enterprise Research and Development Northern Ireland,single_observed_form,1,1,1,0,1,0,
datasets,Census 2011 Individual England and Wales,single_observed_form,1,1,1,0,1,0,
datasets,Census 2011 Individual Northern Ireland,single_observed_form,1,1,1,0,1,0,
datasets,Census 2011 Individual Scotland,single_observed_form,1,1,1,0,1,0,
datasets,Industrial Strategy: UK Innovation Survey,single_observed_form,1,2,2,0,2,0,
datasets,Bespoke National Council for Voluntary Organisations,single_observed_form,1,1,1,0,1,1,
datasets,Census Wales 2021,fragmented_observed_forms,4,7,3,4,7,4,60
datasets,Census Wales 2021 Household,single_observed_form,1,1,1,0,1,1,
datasets,RETIRED MoJ Data First Magistrates Court Defendant,fragmented_observed_forms,2,3,2,1,3,3,113
datasets,RETIRED MoJ Data First Probation,single_observed_form,1,1,1,0,1,1,
datasets,MoJ Data First Cross-Justice System Linking Dataset,fragmented_observed_forms,4,8,4,4,8,8,59
datasets,Public Attitudes Tracker,single_observed_form,1,1,1,0,1,0,
datasets,Childcare and Early Years Survey of Parents,fragmented_observed_forms,2,2,1,1,2,1,119
datasets,Labour Force Survey Indexed,single_observed_form,1,1,1,0,1,0,
datasets,Online Time Use Survey (OTUS),fragmented_observed_forms,2,3,2,1,3,3,110
datasets,Working Lives of Teachers and Leaders Survey,single_observed_form,1,3,3,0,3,3,
datasets,UCAS Grading and Admissions Qualifications Wales,single_observed_form,1,1,1,0,1,0,
datasets,GRading and Admissions Data England (GRADE),fragmented_observed_forms,5,13,7,6,13,12,42
datasets,Education and Child Health Insights from Linked Data (ECHILD),fragmented_observed_forms,4,41,20,21,41,40,14
datasets,UCAS Grading and Admissions,single_observed_form,1,1,1,0,1,1,
datasets,Standard Industrial Classification and Occupational lookup,single_observed_form,1,1,1,0,1,0,
datasets,UK small area gross value added estimates,single_observed_form,1,1,1,0,1,0,
datasets,O2 mobile network operator travel and location data,single_observed_form,1,1,1,0,1,1,
datasets,Nursing and Midwifery Council Register linked to Census 2021,single_observed_form,1,3,3,0,3,3,
datasets,Street Level Crime for England,single_observed_form,1,1,1,0,1,0,
datasets,MoJ Data First Probation Iteration 2,fragmented_observed_forms,2,2,1,1,2,2,123
datasets,MoJ Data First Magistrates Court Iteration 2,fragmented_observed_forms,2,5,3,2,5,5,85
datasets,MoJ Data First Crown Court Iteration 2,fragmented_observed_forms,2,6,4,2,6,6,83
datasets,MoJ Data First Prison Iteration 2,single_observed_form,1,1,1,0,1,1,
datasets,Digital Economy Survey,single_observed_form,1,1,1,0,1,0,
datasets,RETIRED MoJ Data First Crown Court Defendant,single_observed_form,1,1,1,0,1,1,
datasets,The Second Longitudinal Study of Young People in England,single_observed_form,1,2,2,0,2,0,
datasets,Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,fragmented_observed_forms,5,9,3,6,9,9,45
datasets,Census 2021 Non-Response Link Study England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,Census 2021 Household Secure Microdata Sample England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,CGIAD,single_observed_form,1,1,1,0,1,1,
datasets,Enhanced Linked Trade-in-Goods/Inter-Departmental Business Register,single_observed_form,1,1,1,0,1,0,
datasets,Annual International Trade in Services,fragmented_observed_forms,3,10,7,3,10,8,64
datasets,Designs and Trade Marks from Intellectual Property Office,single_observed_form,1,2,2,0,2,2,
datasets,Census 2021 England and Wales,single_observed_form,1,2,2,0,2,0,
datasets,Census 2021 Origin-Destination Tables England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,Integrated Data Service,single_observed_form,1,1,1,0,1,1,
datasets,Death Registrations in England and Wales Indexed,single_observed_form,1,1,1,0,1,1,
datasets,Emergency Care Data Set monthly in England indexed,single_observed_form,1,1,1,0,1,0,
datasets,Census 2021 Indexed,single_observed_form,1,1,1,0,1,1,
datasets,Integrated Data Asset Hospital Episode,single_observed_form,1,1,1,0,1,1,
datasets,Census 2021 Non-Response Link Study England and Wales Indexed,single_observed_form,1,1,1,0,1,1,
datasets,Telephone-Operated Crime Survey for England and Wales,single_observed_form,1,2,2,0,2,0,
datasets,ONS Longitudinal Study 1971,single_observed_form,1,1,1,0,1,1,
datasets,Census 2021 Comprehensive Microdata,fragmented_observed_forms,2,2,1,1,2,2,118
datasets,Annual Survey of Hours and Earnings linked to Census 2011 England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,Bespoke Admin Data - Agricultural Research Collection Phase 2,single_observed_form,1,2,2,0,2,2,
datasets,Bespoke Admin Data - Agricultural Research Collection Phase 1,single_observed_form,1,1,1,0,1,1,
datasets,Council Tax Property Attributes,single_observed_form,1,1,1,0,1,1,
